id,character,dialog,next_event_id,next_event,name,chapter
1083,LIRIA,"Uh... Do you feel it too, @NAME?",1084,CONVERSATION,EXT. CAMINO REAL - AMANECER 1,21 EXT. CAMINO REAL - AMANECER
1084,LIRIA,The air feels... rarefied.,1085,CONVERSATION,EXT. CAMINO REAL - AMANECER 2,21 EXT. CAMINO REAL - AMANECER
1085,LIRIA,Like it's charged.,1086,CONVERSATION,EXT. CAMINO REAL - AMANECER 3,21 EXT. CAMINO REAL - AMANECER
1086,LIRIA,I was hoping that getting away from Vigilaris would give us a bit more peace.,1087,CONVERSATION,EXT. CAMINO REAL - AMANECER 4,21 EXT. CAMINO REAL - AMANECER
1087,LIRIA,"After all, we've left Holdric behind, and the city in good hands.",1088,CONVERSATION,EXT. CAMINO REAL - AMANECER 5,21 EXT. CAMINO REAL - AMANECER
1088,LIRIA,But... couldn't be further from the truth.,1089,CONVERSATION,EXT. CAMINO REAL - AMANECER 6,21 EXT. CAMINO REAL - AMANECER
1089,LIRIA,"Order may feel like a relief at first, but after a while...",1090,CONVERSATION,EXT. CAMINO REAL - AMANECER 7,21 EXT. CAMINO REAL - AMANECER
1090,LIRIA,It only makes the scars more obvious.,1091,CONVERSATION,EXT. CAMINO REAL - AMANECER 8,21 EXT. CAMINO REAL - AMANECER
1091,LIRIA,All this silence... isn't peace.,1092,CONVERSATION,EXT. CAMINO REAL - AMANECER 9,21 EXT. CAMINO REAL - AMANECER
1092,LIRIA,It's the harbinger of a storm.,1093,CONVERSATION,EXT. CAMINO REAL - AMANECER 10,21 EXT. CAMINO REAL - AMANECER
1093,LIRIA,Look at the clouds. They're suspended.,1094,CONVERSATION,EXT. CAMINO REAL - AMANECER 11,21 EXT. CAMINO REAL - AMANECER
1094,LIRIA,Trapped as they waver between becoming a tempest or a downpour.,1095,CONVERSATION,EXT. CAMINO REAL - AMANECER 12,21 EXT. CAMINO REAL - AMANECER
1095,LIRIA,...,1096,CONVERSATION,EXT. CAMINO REAL - AMANECER 13,21 EXT. CAMINO REAL - AMANECER
1096,LIRIA,"Sorry, I know I'm rambling.",1097,CONVERSATION,EXT. CAMINO REAL - AMANECER 14,21 EXT. CAMINO REAL - AMANECER
1097,LIRIA,"Everything gives me the feeling of a still, apathetic anxiety.",1098,CONVERSATION,EXT. CAMINO REAL - AMANECER 15,21 EXT. CAMINO REAL - AMANECER
1098,LIRIA,Wanting to be without taking action.,1099,CONVERSATION,EXT. CAMINO REAL - AMANECER 16,21 EXT. CAMINO REAL - AMANECER
1099,LIRIA,"And... I think, in some way, that resonates with me...",1100,CONVERSATION,EXT. CAMINO REAL - AMANECER 17,21 EXT. CAMINO REAL - AMANECER
1100,LIRIA,... But I didn't want to lose focus.,1101,CONVERSATION,EXT. CAMINO REAL - AMANECER 18,21 EXT. CAMINO REAL - AMANECER
1101,LIRIA,"Come on, @NAME. Let's get moving again.",,END,EXT. CAMINO REAL - AMANECER 19,21 EXT. CAMINO REAL - AMANECER
2184,LIRIA,Yuck…,2185,CONVERSATION,EXT. BOSQUE PERIFÉRICO - AMANECER 1,22 EXT. BOSQUE PERIFÉRICO - AMANECER
2185,LIRIA,"@NAME, look at this.",2186,CONVERSATION,EXT. BOSQUE PERIFÉRICO - AMANECER 2,22 EXT. BOSQUE PERIFÉRICO - AMANECER
